name|slug|full_name|type|publisher|description|source|popularity|star_count|pull_count|filter_type|certification_status|categories|operating_systems|architectures|logo_url|created_at|updated_at
.NET Runtime|microsoft-dotnet-runtime|Microsoft/microsoft-dotnet-runtime|image|Microsoft|Official images for the .NET runtime|publisher|127087860|0|||not_certified|['Application Frameworks']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2020-05-11T15:54:54.903494Z|2022-04-13T02:28:55.393906Z
ASP.NET Core 3.1 Runtime|microsoft-dotnet-core-aspnet|Microsoft/microsoft-dotnet-core-aspnet|image|Microsoft|Official images for the ASP.NET Core 3.1 runtime|publisher|124391499|0|||not_certified|['Application Frameworks']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2020-04-24T04:26:26.334401Z|2022-04-13T02:28:55.218402Z
Dynamics 365 Business Central Sandbox|microsoft-businesscentral-sandbox|Microsoft/microsoft-businesscentral-sandbox|image|Microsoft|Dynamics 365 Business Central|publisher|119995238|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://bcdocker.blob.core.windows.net/public/BC_Neg_128x.png|2018-12-06T17:45:29.549668Z|2021-09-03T04:18:52.909095Z
ASP.NET Core Runtime|microsoft-dotnet-aspnet|Microsoft/microsoft-dotnet-aspnet|image|Microsoft|Official images for the ASP.NET Core runtime|publisher|112110753|0|||not_certified|['Application Frameworks']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2021-11-09T21:37:38.963155Z|2022-04-13T02:28:55.341752Z
containernetworking|microsoft-containernetworking|Microsoft/microsoft-containernetworking|image|Microsoft|Product family for all container networking images|publisher|107861270|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2019-05-01T17:38:48.677966Z|2022-04-13T02:28:54.952018Z
.NET Core Runtime|microsoft-dotnet-core-runtime|Microsoft/microsoft-dotnet-core-runtime|image|Microsoft|Official images for the .NET Core 3.1 runtime|publisher|101973508|0|||not_certified|['Application Frameworks']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2020-04-24T04:26:22.222639Z|2022-04-13T02:28:55.244353Z
Azure CLI|microsoft-azure-cli|Microsoft/microsoft-azure-cli|image|Microsoft|Our next generation multi-platform command line experience for Azure.|publisher|99652582|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://docs.microsoft.com/en-us/azure/media/index/azure_dev-7.svg|2019-10-30T01:51:36.390369Z|2022-04-13T02:28:51.936551Z
Azure-npm|microsoft-containernetworking-azure-npm|Microsoft/microsoft-containernetworking-azure-npm|image|Microsoft|Azure Network Policy Manager|publisher|89068901|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2020-12-03T00:28:09.693392Z|2022-04-13T02:28:54.876563Z
Mcr Hello World|microsoft-mcr-hello-world|Microsoft/microsoft-mcr-hello-world|image|Microsoft|Hello World! (an example of minimal Dockerization).|publisher|85531768|0|||not_certified|['Monitoring']|['Linux']|['x86-64']|https://mcrflowpublic.blob.core.windows.net/assets/Microsoft_logo.svg|2018-12-04T23:59:00.406219Z|2022-04-13T02:28:57.637608Z
ACI Hello World|microsoft-azuredocs-aci-helloworld|Microsoft/microsoft-azuredocs-aci-helloworld|image|Microsoft|A simple Node.js web application used in Azure Container Instances for docs.microsoft.com.|publisher|70742980|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b|2019-03-15T21:49:25.59832Z|2022-04-13T02:28:52.146262Z
Microsoft SQL Server|microsoft-mssql-server|Microsoft/microsoft-mssql-server|image|Microsoft|Official images for Microsoft SQL Server on Linux for Docker Engine.|publisher|62348146|0|||not_certified|['Databases', 'Security', 'Storage']|['Linux']|['x86-64']|https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b|2018-12-04T23:30:41.550446Z|2022-04-13T02:28:58.749697Z
.NET Core Runtime (Preview)|microsoft-dotnet-core-nightly-runtime|Microsoft/microsoft-dotnet-core-nightly-runtime|image|Microsoft|Preview images for the .NET Core 3.1 runtime|publisher|52246797|0|||not_certified|['Application Frameworks']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2020-04-28T20:44:33.093529Z|2022-04-13T02:28:55.113405Z
.NET Core SDK (Preview)|microsoft-dotnet-core-nightly-sdk|Microsoft/microsoft-dotnet-core-nightly-sdk|image|Microsoft|Preview images for the .NET Core 3.1 SDK|publisher|52096072|0|||not_certified|['Programming Languages']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2020-04-28T20:44:39.483994Z|2022-04-13T02:28:55.161335Z
ASP.NET Core 3.1 Runtime (Preview)|microsoft-dotnet-core-nightly-aspnet|Microsoft/microsoft-dotnet-core-nightly-aspnet|image|Microsoft|Preview images for the ASP.NET Core 3.1 runtime|publisher|52017345|0|||not_certified|['Application Frameworks']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2020-04-28T20:43:23.918991Z|2022-04-13T02:28:55.085758Z
.NET Core Runtime Dependencies (Preview)|microsoft-dotnet-core-nightly-runtime-deps|Microsoft/microsoft-dotnet-core-nightly-runtime-deps|image|Microsoft|Preview images for the .NET Core 3.1 runtime dependencies|publisher|50899843|0|||not_certified|['Application Frameworks']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2020-04-29T14:01:04.342544Z|2022-04-13T02:28:55.136453Z
ASP.NET Core Runtime (Preview)|microsoft-dotnet-nightly-aspnet|Microsoft/microsoft-dotnet-nightly-aspnet|image|Microsoft|Preview images for the ASP.NET Core runtime|publisher|48992097|0|||not_certified|['Application Frameworks']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2020-09-24T19:10:44.629522Z|2022-04-13T02:28:55.735213Z
.NET Runtime (Preview)|microsoft-dotnet-nightly-runtime|Microsoft/microsoft-dotnet-nightly-runtime|image|Microsoft|Preview images for the .NET runtime|publisher|48956102|0|||not_certified|['Application Frameworks']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2021-01-22T14:59:21.347678Z|2022-04-13T02:28:55.800008Z
.NET SDK (Preview)|microsoft-dotnet-nightly-sdk|Microsoft/microsoft-dotnet-nightly-sdk|image|Microsoft|Preview images for the .NET SDK|publisher|48892782|0|||not_certified|['Programming Languages']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2021-01-20T14:15:50.10184Z|2022-04-13T02:28:55.858556Z
.NET Core SDK|microsoft-dotnet-core-sdk|Microsoft/microsoft-dotnet-core-sdk|image|Microsoft|Official images for the .NET Core 3.1 SDK|publisher|48726630|0|||not_certified|['Programming Languages']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2020-04-25T00:42:00.413419Z|2022-04-13T02:28:55.292558Z
.NET Runtime Dependencies (Preview)|microsoft-dotnet-nightly-runtime-deps|Microsoft/microsoft-dotnet-nightly-runtime-deps|image|Microsoft|Preview images for the .NET runtime dependencies|publisher|48477878|0|||not_certified|['Application Frameworks']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2021-01-12T04:35:50.357264Z|2022-04-13T02:28:55.827549Z
Windows IIS|microsoft-windows-servercore-iis|Microsoft/microsoft-windows-servercore-iis|image|Microsoft|Microsoft IIS images|publisher|47732738|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b|2018-12-06T17:44:17.532746Z|2022-04-13T02:28:56.170239Z
.NET Monitor (Preview)|microsoft-dotnet-nightly-monitor|Microsoft/microsoft-dotnet-nightly-monitor|image|Microsoft|Preview images for the .NET Monitor tool|publisher|47639700|0|||not_certified|['Monitoring']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2020-06-02T19:52:23.835402Z|2022-04-13T02:28:55.769859Z
K8s Aad Pod Identity Nmi|microsoft-k8s-aad-pod-identity-nmi|Microsoft/microsoft-k8s-aad-pod-identity-nmi|image|Microsoft|Assign AAD Identities to kubernetes applications - Node Managed Identity(NMI) image.|publisher|42163552|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2018-12-05T00:01:27.453084Z|2022-04-13T02:28:57.478643Z
Dynamics 365 Business Central Onprem|microsoft-businesscentral-onprem|Microsoft/microsoft-businesscentral-onprem|image|Microsoft|Dynamics 365 Business Central|publisher|30265751|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://bcdocker.blob.core.windows.net/public/BC_Neg_128x.png|2018-12-06T17:45:47.935174Z|2021-09-03T04:18:52.874596Z
Azure Functions Dotnet|microsoft-azure-functions-dotnet|Microsoft/microsoft-azure-functions-dotnet|image|Microsoft|Azure Functions dotnet image|publisher|26627371|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b|2018-12-06T17:47:17.36586Z|2022-04-13T02:28:52.775071Z
Azure IoT Edge Agent|microsoft-azureiotedge-agent|Microsoft/microsoft-azureiotedge-agent|image|Microsoft|Azure IoT Edge agent is a core component of the IoT Edge runtime.|publisher|25094705|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b|2018-12-05T00:13:38.407172Z|2022-04-13T02:28:56.819978Z
PowerShell|microsoft-powershell|Microsoft/microsoft-powershell|image|Microsoft|PowerShell for every system!|publisher|22848037|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://raw.githubusercontent.com/PowerShell/PowerShell/master/assets/ps_black_64.svg?sanitize=true|2018-12-04T23:30:47.587171Z|2022-04-13T02:28:58.2819Z
Networkmonitor|microsoft-containernetworking-networkmonitor|Microsoft/microsoft-containernetworking-networkmonitor|image|Microsoft|Azure CNI Network Monitor|publisher|18756931|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2020-12-03T00:28:11.316268Z|2022-04-13T02:28:54.924979Z
Azure Functions Node|microsoft-azure-functions-node|Microsoft/microsoft-azure-functions-node|image|Microsoft|Azure Functions node image|publisher|17765517|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b|2018-12-06T17:47:08.0054Z|2022-04-13T02:28:52.836703Z
Azure Industrial IoT OPC Twin module|microsoft-iotedge-opc-twin|Microsoft/microsoft-iotedge-opc-twin|image|Microsoft|This image contains the Azure Industrial IoT OPC Twin Edge module.|publisher|16920325|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2018-12-06T17:42:40.928707Z|2022-04-13T02:28:56.279248Z
Azure Industrial IoT OPC Publisher module|microsoft-iotedge-opc-publisher|Microsoft/microsoft-iotedge-opc-publisher|image|Microsoft|This image contains the Azure Industrial IoT OPC Publisher IoT Edge module.|publisher|16299545|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2018-12-06T17:43:20.27163Z|2022-04-13T02:28:56.252411Z
Azure Industrial IoT discovery module|microsoft-iotedge-discovery|Microsoft/microsoft-iotedge-discovery|image|Microsoft|This image contains the Azure Industrial IoT Discovery Edge module.|publisher|15585879|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2020-04-15T17:04:41.087836Z|2022-04-13T02:28:56.308316Z
Service Fabric Reverse Proxy|microsoft-service-fabric-reverse-proxy|Microsoft/microsoft-service-fabric-reverse-proxy|image|Microsoft|Official image for running Reverse Proxy on Service Fabric.|publisher|12835789|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b|2019-03-22T18:24:44.258645Z|2022-04-13T02:28:58.631754Z
Azure Industrial Frontend microservice|microsoft-iot-industrial-iot-frontend|Microsoft/microsoft-iot-industrial-iot-frontend|image|Microsoft|This image contains the Azure Industrial IoT Fontend.|publisher|9933928|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2020-04-15T17:04:44.550891Z|2022-04-13T02:28:56.358883Z
.NET SDK|microsoft-dotnet-sdk|Microsoft/microsoft-dotnet-sdk|image|Microsoft|Official images for the .NET SDK|publisher|9716881|0|||not_certified|['Programming Languages']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2021-09-14T17:56:32.276567Z|2022-04-13T02:28:55.470171Z
Azure Industrial IoT diagnostic module|microsoft-iotedge-diagnostic|Microsoft/microsoft-iotedge-diagnostic|image|Microsoft|This image contains the Azure Industrial IoT Diagnostic Edge module.|publisher|9616922|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2020-04-15T17:04:41.744739Z|2021-07-14T16:07:14.070292Z
Azure Functions Java|microsoft-azure-functions-java|Microsoft/microsoft-azure-functions-java|image|Microsoft|Azure Functions image for java|publisher|8792749|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b|2020-06-04T20:37:19.679308Z|2022-04-13T02:28:52.936872Z
Azure Industrial OPC Registry microservice|microsoft-iot-opc-registry-service|Microsoft/microsoft-iot-opc-registry-service|image|Microsoft|This image contains the Azure Industrial IoT OPC Registry microservice.|publisher|8394690|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2019-01-04T18:25:51.323421Z|2022-04-13T02:28:56.53669Z
K8s Aad Pod Identity Mic|microsoft-k8s-aad-pod-identity-mic|Microsoft/microsoft-k8s-aad-pod-identity-mic|image|Microsoft|Assign AAD Identities to kubernetes applications - Managed Identity Controller(MIC) image.|publisher|8247622|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2018-12-05T00:01:31.586144Z|2022-04-13T02:28:57.452949Z
IoT OPC UA test server|microsoft-iot-opc-ua-test-server|Microsoft/microsoft-iot-opc-ua-test-server|image|Microsoft|This image contains the Azure Industrial IoT OPC UA test server.|publisher|8158159|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2020-04-15T17:05:09.15836Z|2022-04-13T02:28:56.663545Z
Azure Industrial OPC Publisher microservice|microsoft-iot-opc-publisher-service|Microsoft/microsoft-iot-opc-publisher-service|image|Microsoft|This image contains the Azure Industrial IoT OPC Publisher microservice.|publisher|8138931|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2020-04-15T17:04:50.984331Z|2022-04-13T02:28:56.414092Z
Azure Industrial OPC Gateway microservice|microsoft-iot-opc-gateway-service|Microsoft/microsoft-iot-opc-gateway-service|image|Microsoft|This image contains the Azure Industrial IoT OPC Gateway microservice.|publisher|8073179|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2019-01-04T19:52:59.102065Z|2022-04-13T02:28:56.562012Z
Azure Industrial OPC Historic Access microservice|microsoft-iot-opc-history-service|Microsoft/microsoft-iot-opc-history-service|image|Microsoft|This image contains the Azure Industrial IoT OPC Historic Access microservice.|publisher|8026676|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2019-03-29T11:08:52.36084Z|2022-04-13T02:28:56.478636Z
Azure Industrial OPC Vault microservice|microsoft-iot-opc-vault-service|Microsoft/microsoft-iot-opc-vault-service|image|Microsoft|This image contains the Azure Industrial IoT OPC Vault microservice.|publisher|8017921|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2020-04-15T17:04:51.711833Z|2021-07-14T16:07:14.235011Z
Azure Industrial IoT Hub Edge Events processor|microsoft-iot-industrial-iot-events-processor|Microsoft/microsoft-iot-industrial-iot-events-processor|image|Microsoft|This image contains the Azure Industrial IoT Edge Events processor.|publisher|7995750|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2020-04-15T17:05:08.014866Z|2022-04-13T02:28:56.636539Z
Azure Industrial IoT all in one service|microsoft-iot-industrial-iot-services-all|Microsoft/microsoft-iot-industrial-iot-services-all|image|Microsoft|This image contains the Azure Industrial all in one service.|publisher|7975568|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2020-04-15T17:04:45.854771Z|2022-04-13T02:28:56.388088Z
Azure Industrial OPC Twin microservice|microsoft-iot-opc-twin-service|Microsoft/microsoft-iot-opc-twin-service|image|Microsoft|This image contains the Azure Industrial IoT OPC Twin microservice.|publisher|7966626|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2018-12-06T17:41:26.950794Z|2022-04-13T02:28:56.448826Z
Azure Industrial IoT Hub Edge Telemetry processor|microsoft-iot-industrial-iot-telemetry-processor|Microsoft/microsoft-iot-industrial-iot-telemetry-processor|image|Microsoft|This image contains the Azure Industrial IoT Edge Telemetry processor.|publisher|7906615|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2020-04-15T17:05:03.765307Z|2022-04-13T02:28:56.587292Z
Azure Industrial IoT Services command line interface|microsoft-iot-industrial-cli|Microsoft/microsoft-iot-industrial-cli|image|Microsoft|This image contains the Azure Industrial IoT Services command line interface.|publisher|7869303|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2020-04-15T17:04:43.973895Z|2022-04-13T02:28:56.331366Z
.NET Samples|microsoft-dotnet-samples|Microsoft/microsoft-dotnet-samples|image|Microsoft|Sample images illustrating how to containerize .NET and ASP.NET Core applications|publisher|7736804|0|||not_certified|['Application Frameworks']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2020-11-10T01:32:42.193948Z|2022-04-13T02:28:55.442493Z
Azure Industrial OPC Onboarding microservice|microsoft-iot-opc-onboarding-service|Microsoft/microsoft-iot-opc-onboarding-service|image|Microsoft|This image contains the Azure Industrial IoT OPC Onboarding microservice.|publisher|7541672|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2019-01-04T19:52:52.647861Z|2022-04-13T02:28:56.50736Z
Azure Industrial IoT Hub Telemetry CDM publisher|microsoft-iot-industrial-iot-telemetry-cdm-processor|Microsoft/microsoft-iot-industrial-iot-telemetry-cdm-processor|image|Microsoft|This image contains the Azure Industrial IoT Telemetry CDM publisher.|publisher|7481972|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg|2020-04-15T17:05:06.090633Z|2022-04-13T02:28:56.61126Z
Azure Pipelines Agent|microsoft-azure-pipelines-vsts-agent|Microsoft/microsoft-azure-pipelines-vsts-agent|image|Microsoft|Containerized agent for Azure Pipelines|publisher|7153245|0|||not_certified|['Base Images']|['Linux']|['x86-64']|https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b|2019-01-17T21:31:04.328776Z|2022-04-13T02:28:53.643362Z
.NET Framework SDK|microsoft-dotnet-framework-sdk|Microsoft/microsoft-dotnet-framework-sdk|image|Microsoft|Official images for the .NET Framework SDK|publisher|6734527|0|||not_certified|['Programming Languages']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2019-03-19T19:27:34.366353Z|2022-04-13T02:28:55.67457Z
.NET Framework Runtime|microsoft-dotnet-framework-runtime|Microsoft/microsoft-dotnet-framework-runtime|image|Microsoft|Official images for the .NET Framework runtime|publisher|6731512|0|||not_certified|['Application Frameworks']|['Linux']|['x86-64']|https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png|2019-03-19T19:27:23.467777Z|2022-04-13T02:28:55.519906Z
